日期,收盘,开盘,高,低,交易量,涨跌幅
1999-10-6,"1,325.40","1,301.35","1,325.46","1,301.35",-,1.85%
1999-10-7,"1,317.64","1,325.40","1,328.05","1,314.13",-,-0.59%
1999-10-8,"1,336.02","1,317.64","1,336.61","1,311.88",-,1.39%
1999-10-11,"1,335.21","1,336.02","1,339.23","1,332.96",-,-0.06%
1999-10-12,"1,313.04","1,335.21","1,335.21","1,311.80",-,-1.66%
1999-10-13,"1,285.55","1,313.04","1,313.04","1,282.80",-,-2.09%
1999-10-14,"1,283.42","1,285.55","1,289.63","1,267.62",-,-0.17%
1999-10-15,"1,247.41","1,283.42","1,283.42","1,245.39",-,-2.81%
1999-10-18,"1,254.13","1,247.41","1,254.13","1,233.70",-,0.54%
1999-10-19,"1,261.32","1,254.13","1,279.32","1,254.13",-,0.57%
1999-10-20,"1,289.43","1,261.32","1,289.44","1,261.32",-,2.23%
1999-10-21,"1,283.61","1,289.43","1,289.43","1,265.61",-,-0.45%
1999-10-22,"1,301.65","1,283.61","1,308.81","1,283.61",-,1.41%
1999-10-25,"1,293.63","1,301.65","1,301.68","1,286.07",-,-0.62%
1999-10-26,"1,281.91","1,293.63","1,303.46","1,281.86",-,-0.91%
1999-10-27,"1,296.71","1,281.91","1,299.39","1,280.48",-,1.15%
1999-10-28,"1,342.44","1,296.71","1,342.47","1,296.71",-,3.53%
1999-10-29,"1,362.93","1,342.44","1,373.17","1,342.44",-,1.53%
1999-11-1,"1,354.12","1,362.93","1,367.30","1,354.05",-,-0.65%
1999-11-2,"1,347.74","1,354.12","1,369.32","1,346.41",-,-0.47%
1999-11-3,"1,354.93","1,347.74","1,360.33","1,347.74",-,0.53%
1999-11-4,"1,362.64","1,354.93","1,369.41","1,354.93",-,0.57%
1999-11-5,"1,370.23","1,362.64","1,387.48","1,362.64",-,0.56%
1999-11-8,"1,377.01","1,370.23","1,380.78","1,365.87",-,0.49%
1999-11-9,"1,365.28","1,377.01","1,383.81","1,361.45",-,-0.85%
