日期,收盘,开盘,高,低,交易量,涨跌幅
1979-12-24,107.66,107.59,108.08,106.80,-,0.00%
1979-12-26,107.78,107.66,108.37,107.06,-,0.11%
1979-12-27,107.96,107.78,108.50,107.14,-,0.17%
1979-12-28,107.84,107.96,108.61,107.16,-,-0.11%
1980-1-1,107.94,107.94,107.94,107.94,-,0.00%
1980-1-2,105.76,107.94,108.43,105.29,-,-2.02%
1980-1-3,105.22,105.76,106.08,103.26,-,-0.51%
1980-1-4,106.52,105.22,107.08,105.09,-,1.24%
1980-1-7,106.81,106.52,107.80,105.80,-,0.27%
1980-1-8,108.95,106.81,109.29,106.29,-,2.00%
1980-1-9,109.05,108.95,111.09,108.41,-,0.09%
1980-1-10,109.89,109.05,110.86,108.47,-,0.77%
1980-1-11,109.92,109.89,111.16,108.89,-,0.03%
1980-1-14,110.38,109.92,111.44,109.34,-,0.42%
1980-1-15,111.14,110.38,111.93,109.45,-,0.69%
1980-1-16,111.05,111.14,112.90,110.38,-,-0.08%
1980-1-17,110.70,111.05,112.01,109.81,-,-0.32%
1980-1-18,111.07,110.70,111.74,109.88,-,0.33%
1980-1-21,112.10,111.07,112.90,110.66,-,0.93%
1980-1-22,111.51,112.10,113.10,110.92,-,-0.53%
1980-1-23,113.44,111.51,113.93,110.93,-,1.73%
1980-1-24,113.70,113.44,115.27,112.95,-,0.23%
1980-1-25,113.61,113.70,114.45,112.36,-,-0.08%
1980-1-28,114.85,113.61,115.65,112.93,-,1.09%
1980-1-29,114.07,114.85,115.77,113.03,-,-0.68%
1980-1-30,115.20,114.07,115.85,113.37,-,0.99%
1980-1-31,114.16,115.20,117.17,113.78,-,-0.90%
1980-2-1,115.12,114.16,115.54,113.13,-,0.84%
1980-2-4,114.37,115.12,116.01,113.83,-,-0.65%
1980-2-5,114.66,114.37,115.25,112.15,-,0.25%
1980-2-6,115.72,114.66,116.57,113.65,-,0.92%
1980-2-7,116.28,115.72,117.87,115.22,-,0.48%
1980-2-8,117.95,116.28,118.66,115.72,-,1.44%
1980-2-11,117.12,117.95,119.05,116.31,-,-0.70%
1980-2-12,117.90,117.12,118.41,115.75,-,0.67%
1980-2-13,118.44,117.90,120.22,117.57,-,0.46%
1980-2-14,116.72,118.44,119.30,116.04,-,-1.45%
1980-2-15,115.41,116.70,116.70,114.12,-,-1.12%
1980-2-19,114.60,115.41,115.67,113.35,-,-0.70%
1980-2-20,116.47,114.60,117.18,114.06,-,1.63%
1980-2-21,115.28,116.47,117.90,114.44,-,-1.02%
1980-2-22,115.04,115.28,116.46,113.43,-,-0.21%
1980-2-25,113.33,114.93,114.93,112.62,-,-1.49%
1980-2-26,113.98,113.33,114.76,112.30,-,0.57%
1980-2-27,112.38,113.98,115.12,111.91,-,-1.40%
1980-2-28,112.35,112.38,113.70,111.33,-,-0.03%
1980-2-29,113.66,112.35,114.12,111.77,-,1.17%
1980-3-3,112.50,113.66,114.34,112.01,-,-1.02%
1980-3-4,112.78,112.50,113.41,110.83,-,0.25%
1980-3-5,111.13,112.78,113.94,110.58,-,-1.46%
1980-3-6,108.65,111.13,111.29,107.85,-,-2.23%
1980-3-7,106.90,108.65,108.96,105.99,-,-1.61%
1980-3-10,106.51,106.90,107.86,104.92,-,-0.36%
1980-3-11,107.78,106.51,108.54,106.18,-,1.19%
1980-3-12,106.87,107.78,108.40,105.42,-,-0.84%
1980-3-13,105.62,106.87,107.55,105.10,-,-1.17%
1980-3-14,105.43,105.62,106.49,104.01,-,-0.18%
1980-3-17,102.26,105.23,105.23,101.82,-,-3.01%
1980-3-18,104.10,102.26,104.71,101.14,-,1.80%
1980-3-19,104.31,104.10,105.72,103.35,-,0.20%
1980-3-20,103.12,104.31,105.17,102.52,-,-1.14%
1980-3-21,102.31,103.12,103.73,101.55,-,-0.79%
1980-3-24,99.28,102.18,102.18,98.88,-,-2.96%
1980-3-25,99.19,99.28,100.58,97.89,-,-0.09%
1980-3-26,98.68,99.19,101.22,98.10,-,-0.51%
1980-3-27,98.22,98.68,99.58,94.23,-,-0.47%
1980-3-28,100.68,98.22,101.43,97.72,-,2.50%
1980-3-31,102.09,100.68,102.65,100.02,-,1.40%
1980-4-1,102.18,102.09,103.28,100.85,-,0.09%
1980-4-2,102.68,102.18,103.87,101.45,-,0.49%
1980-4-3,102.15,102.68,103.34,101.31,-,-0.52%
1980-4-7,100.19,102.15,102.27,99.73,-,-1.92%
1980-4-8,101.20,100.19,101.88,99.23,-,1.01%
1980-4-9,103.11,101.20,103.60,101.01,-,1.89%
1980-4-10,104.08,103.11,105.00,102.81,-,0.94%
1980-4-11,103.79,104.08,105.15,103.20,-,-0.28%
1980-4-14,102.84,103.79,103.92,102.08,-,-0.92%
1980-4-15,102.63,102.84,103.94,101.85,-,-0.20%
1980-4-16,101.54,102.63,104.42,101.13,-,-1.06%
1980-4-17,101.05,101.54,102.21,100.12,-,-0.48%
1980-4-18,100.55,101.05,102.07,99.97,-,-0.49%
1980-4-21,99.80,100.55,101.26,98.95,-,-0.75%
1980-4-22,103.43,100.81,104.02,100.81,-,3.64%
1980-4-23,103.73,103.43,105.11,102.81,-,0.29%
1980-4-24,104.40,103.73,105.43,102.93,-,0.65%
1980-4-25,105.16,104.40,105.57,103.02,-,0.73%
1980-4-28,105.64,105.16,106.79,104.64,-,0.46%
1980-4-29,105.86,105.64,106.70,104.86,-,0.21%
1980-4-30,106.29,105.86,106.72,104.50,-,0.41%
1980-5-1,105.46,106.29,106.86,104.72,-,-0.78%
1980-5-2,105.58,105.46,106.25,104.61,-,0.11%
1980-5-5,106.38,105.58,106.83,104.64,-,0.76%
1980-5-6,106.25,106.38,107.83,105.36,-,-0.12%
1980-5-7,107.18,106.25,108.12,105.83,-,0.88%
1980-5-8,106.13,107.18,108.02,105.50,-,-0.98%
1980-5-9,104.72,106.13,106.20,104.18,-,-1.33%
1980-5-12,104.78,104.72,105.48,103.50,-,0.06%
1980-5-13,106.30,104.78,106.76,104.44,-,1.45%
1980-5-14,106.85,106.30,107.89,106.00,-,0.52%
1980-5-15,106.99,106.85,107.99,106.07,-,0.13%
1980-5-16,107.35,106.99,107.89,106.25,-,0.34%
1980-5-19,107.67,107.35,108.43,106.51,-,0.30%
